,n,R2 (final T),R2 (delta T),RMSE,MAE,MSE,% within 150
In-sample (full-data fit),511.0,0.44364805243512406,0.7655398798597721,247.8928742185804,194.20116350066135,61450.87708834893,47.162426614481404
"Out-of-sample (CV, out-of-fold)",422.0,0.0014853441718578608,0.5208938413590645,331.0031363582318,258.7485937148718,109563.07627898619,37.677725118483416
Out-of-sample (held-out patients),89.0,-0.2544908078950059,0.6585516629059703,377.7493467787591,295.51376156707084,142694.5689917792,31.46067415730337
