fold,outcomeT_rmse,outcomeT_mae,outcomeT_r2,outcomeT_within_100ngdl,inverse_exact_dose,inverse_within_one_step,baseline_keepdose_exact
0,139.25001574718277,111.14330721344282,0.6274784018067115,0.5291666666666667,0.425,0.825,0.14583333333333334
1,140.80676933432466,111.79738013744945,0.6394934154638994,0.5375,0.44583333333333336,0.8583333333333333,0.12916666666666668
2,137.53299916002518,109.99710906828514,0.641429472578058,0.55,0.44583333333333336,0.8375,0.17083333333333334
3,144.9683172091986,113.9844240486069,0.5906212484830966,0.5125,0.45416666666666666,0.8333333333333334,0.14166666666666666
4,138.49762627177256,108.33245644322355,0.6346780698125327,0.55,0.43333333333333335,0.8625,0.15416666666666667
