,n,R2 (final T),R2 (delta T),RMSE,MAE,MSE,% within 150
In-sample (full-data fit),511.0,0.6560623987921237,0.855056405117487,194.9077309536759,151.2285982434297,37989.023585510506,57.534246575342465
"Out-of-sample (CV, out-of-fold)",422.0,-0.0904446150401268,0.4767841136099582,345.90488323442787,270.16661170851,119650.1882454232,34.59715639810427
Out-of-sample (held-out patients),89.0,-0.26933338578354116,0.6545117978815842,379.9774568775675,294.80036597091157,144382.86773514366,33.70786516853933
