fold,outcomeT_rmse,outcomeT_mae,outcomeT_r2,outcomeT_within_100ngdl,inverse_exact_dose,inverse_within_one_step,baseline_keepdose_exact
0,134.1638137398134,104.21758264210426,0.7046306907559619,0.575,0.4791666666666667,0.825,0.15833333333333333
1,134.125478302805,104.51552107102701,0.5508818542074131,0.5541666666666667,0.4583333333333333,0.8458333333333333,0.15
2,141.6264673200556,110.71603835945847,0.6322312169080184,0.5458333333333333,0.4625,0.8333333333333334,0.14166666666666666
3,133.7796981427599,104.94234153237588,0.6418360276123087,0.5416666666666666,0.45416666666666666,0.8666666666666667,0.11666666666666667
4,137.27636741722677,106.48656067375335,0.593782805000278,0.5791666666666667,0.3958333333333333,0.8458333333333333,0.18333333333333332
