,n,R2 (final T),R2 (delta T),RMSE,MAE,MSE,% within 150
In-sample (full-data fit),511.0,0.44779300809173106,0.7672866640769886,246.9677171054319,194.60292604243034,60993.05329226864,45.40117416829745
"Out-of-sample (CV, out-of-fold)",422.0,0.002452306132040505,0.5213578079394157,330.8428257580866,256.57133687832714,109456.97535559563,36.25592417061612
Out-of-sample (held-out patients),89.0,-0.2880314277427185,0.6494225494839907,382.76587355663617,294.0478692949531,146509.7139595748,35.95505617977528
