fold,exact_dose_accuracy,within_one_step_accuracy,quadratic_weighted_kappa,agreement_with_rubric,agreement_with_clinician
0,0.9777777777777777,1.0,0.9873577749683944,0.9777777777777777,0.9
1,0.9666666666666667,1.0,0.9832698206152988,0.9666666666666667,0.8666666666666667
2,0.9888888888888889,1.0,0.9937262556202293,0.9888888888888889,0.9222222222222223
3,0.9722222222222222,1.0,0.9860057221047394,0.9722222222222222,0.8555555555555555
4,0.9666666666666667,1.0,0.9812811980033278,0.9666666666666667,0.8777777777777778
