,n,R2 (final T),R2 (delta T),RMSE,MAE,MSE,% within 150
In-sample (full-data fit),511.0,0.4543078096423976,0.7700321584730174,245.50656270413148,194.2541528344447,60273.472330797646,46.37964774951076
"Out-of-sample (CV, out-of-fold)",422.0,0.012708785141282819,0.5262790599517098,329.1376191697949,256.4176008606432,108331.57235276095,35.78199052132701
Out-of-sample (held-out patients),89.0,-0.22129210811127087,0.6675877122444753,372.71747531654125,286.61480223824765,138918.31640633653,34.831460674157306
