fold,exact_dose_accuracy,within_one_step_accuracy,quadratic_weighted_kappa,agreement_with_rubric,agreement_with_clinician
0,0.28888888888888886,0.7222222222222222,0.0,0.28888888888888886,0.2833333333333333
1,0.21666666666666667,0.6888888888888889,0.0,0.21666666666666667,0.2111111111111111
2,0.23333333333333334,0.75,0.0,0.23333333333333334,0.24444444444444444
3,0.2111111111111111,0.6944444444444444,0.0,0.2111111111111111,0.21666666666666667
4,0.2833333333333333,0.7611111111111111,0.0,0.2833333333333333,0.2833333333333333
