fold,exact_dose_accuracy,within_one_step_accuracy,quadratic_weighted_kappa,agreement_with_rubric,agreement_with_clinician
0,0.9888888888888889,1.0,0.9937871047908325,0.9888888888888889,0.9
1,0.9833333333333333,1.0,0.9920075780001184,0.9833333333333333,0.8666666666666667
2,0.9888888888888889,1.0,0.9937813093798583,0.9888888888888889,0.9055555555555556
3,0.9944444444444445,1.0,0.9972875226039783,0.9944444444444445,0.8777777777777778
4,0.9722222222222222,1.0,0.9844741926580182,0.9722222222222222,0.8777777777777778
