fold,outcomeT_rmse,outcomeT_mae,outcomeT_r2,outcomeT_within_100ngdl,inverse_within_1_overall,inverse_within_1_SWITCH,inverse_within_1_stable,baseline_keepdose_exact
0,321.35541313894123,246.95422331315493,0.013561190214182006,0.27225130890052357,0.4973821989528796,0.5,0.4968553459119497,0.8324607329842932
1,332.2966151674933,248.72491646141512,0.14321247655415748,0.27225130890052357,0.5392670157068062,0.7857142857142857,0.49693251533742333,0.8534031413612565
2,293.2471237816622,228.04326051061966,2.12937371912858e-06,0.2774869109947644,0.4869109947643979,0.5384615384615384,0.47878787878787876,0.8638743455497382
3,357.27371916154715,280.48256447365924,0.11518085272115697,0.23684210526315788,0.4421052631578947,0.6296296296296297,0.4110429447852761,0.8578947368421053
4,343.12760456554383,265.6425717938908,0.11466070030058528,0.23684210526315788,0.4473684210526316,0.6176470588235294,0.41025641025641024,0.8210526315789474
