,n,R2 (final T),R2 (delta T),RMSE,MAE,MSE,% within 150
In-sample (full-data fit),511.0,0.42805108474125053,0.7589669417486813,251.34361491305842,196.19193470678024,63173.612757563795,44.61839530332681
"Out-of-sample (CV, out-of-fold)",422.0,0.0024037014834759063,0.5213344865126044,330.85088567517255,257.1603720913513,109462.3085520461,37.677725118483416
Out-of-sample (held-out patients),89.0,-0.21822502481638484,0.668422513491465,372.24917041586104,291.37370679963993,138569.44487529676,32.58426966292135
