fold,outcomeT_rmse,outcomeT_mae,outcomeT_r2,outcomeT_within_100ngdl,inverse_within_1_overall,inverse_within_1_SWITCH,inverse_within_1_stable,baseline_keepdose_exact
0,351.88127214053605,269.7167160918611,-0.18274526356114507,0.24083769633507854,0.4397905759162304,0.40625,0.44654088050314467,0.8324607329842932
1,348.44880345695265,261.8328645837681,0.0578951192936521,0.2513089005235602,0.3769633507853403,0.35714285714285715,0.3803680981595092,0.8534031413612565
2,317.7701285257798,245.2891950547378,-0.17424222192399963,0.27225130890052357,0.5130890052356021,0.5384615384615384,0.509090909090909,0.8638743455497382
3,368.720410009459,288.6671911277297,0.05757515614800257,0.21052631578947367,0.45789473684210524,0.4444444444444444,0.4601226993865031,0.8578947368421053
4,346.56533897573433,269.116108747686,0.09683171898589105,0.22631578947368422,0.3894736842105263,0.5294117647058824,0.358974358974359,0.8210526315789474
