fold,outcomeT_rmse,outcomeT_mae,outcomeT_r2,outcomeT_within_100ngdl,inverse_exact_dose,inverse_within_one_step,baseline_keepdose_exact
0,356.0847017799866,271.7128535181815,-0.21117121948071294,0.24607329842931938,0.04712041884816754,0.3769633507853403,0.8324607329842932
1,352.7240383606723,264.1869558540065,0.03463529834679013,0.27225130890052357,0.06282722513089005,0.39267015706806285,0.8534031413612565
2,319.0147119742493,247.12234629366415,-0.18345834550883722,0.27225130890052357,0.2198952879581152,0.5340314136125655,0.8638743455497382
3,381.0893889386453,291.2728172318308,-0.006713941726431916,0.25263157894736843,0.12105263157894737,0.4368421052631579,0.8578947368421053
4,348.4345389013357,271.1022314035516,0.08706297092188342,0.24210526315789474,0.12631578947368421,0.4,0.8210526315789474
